seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
1,1,1,routing,full,native,22174,20.003222,50942540,2.546717,17555466148,344.613091,29246741,82430131,53183390,15222380583,42913037322,27690656739,520.663627,1.043988,1,6,1,1,520.61
4,1,4,routing,full,native,22306,20.003173,50937786,2.546485,17531622921,344.177168,29268004,82455267,53187263,6268319024273,6295837290100,27518265827,517.384507,1.044161,1,6,1,1,76108.44
6,2,2,routing,full,native,22394,20.003092,53889859,2.694076,17547957990,325.626348,30094128,86364395,56270267,14834539446,42500577364,27666037918,491.663527,1.044172,1,6,1,1,492.11
7,2,3,routing,full,native,22438,20.003454,50811860,2.540154,17569472715,345.775036,28536312,81584024,53047712,14974061197,42819760014,27845698817,524.917999,1.044003,1,6,1,1,524.86
9,3,1,routing,full,native,22526,20.003511,50686316,2.533871,17550982501,346.266683,29098738,82022658,52923920,15206516666,42872949074,27666432408,522.758564,1.044146,1,6,1,1,522.71
12,3,4,routing,full,native,22658,20.003381,50632805,2.531212,17549738156,346.608057,29068622,81953666,52885044,15198236134,42857792902,27659556768,523.012835,1.044482,1,6,1,1,522.96
14,4,2,routing,full,native,22746,20.003247,50323690,2.515776,17556933474,348.880090,28730968,81265876,52534908,15099270052,42717701299,27618431247,525.715801,1.043940,1,6,1,1,525.67
15,4,3,routing,full,native,22790,20.003796,54064398,2.702707,17534736218,324.330555,30947884,87402202,56454318,15189835760,42880935163,27691099403,490.504542,1.044205,1,6,1,1,490.61
17,5,1,routing,full,native,22878,20.003437,51536190,2.576367,16724321389,324.516061,29640021,83448011,53807990,7232138242156,7258465863285,26327621129,489.288322,1.044082,1,6,1,1,86701.38
20,5,4,routing,full,native,23010,20.003407,53983971,2.698739,17534865541,324.816149,28680063,85038305,56358242,14013014161,41550219120,27537204959,488.610077,1.043981,1,6,1,1,488.60
